 Nederland , Totale oppervlakte , Totale oppervlakte  , 4152618 , 4152803 , 4152795 , 4154307 , 4154307 , 4154307 , 4154302 
 Nederland , Verkeersterrein , Totaal verkeersterrein  , 112503 , 113039 , 114268 , 115955 , 117149 , 117602 , 116123 
 Nederland , Bebouwd terrein , Totaal bebouwd terrein , 304823 , 318330 , 328867 , 337927 , 344874 , 350161 , 355986 
 Nederland , Semi-bebouwd terrein , Totaal semi-bebouwd terrein  , 37780 , 48573 , 50615 , 52849 , 51391 , 51202 , 51002 
 Nederland , Recreatieterrein , Totaal recreatieterrein  , 86166 , 88877 , 93702 , 96311 , 97659 , 98834 , 102561 
 Nederland , Agrarisch terrein , Totaal agrarisch terrein  , 2360382 , 2326047 , 2304074 , 2285799 , 2275827 , 2264376 , 2252233 
 Nederland , Bos en open natuurlijk terrein , Totaal  bos en open natuurlijk terrein  , 478396 , 483463 , 484090 , 484024 , 485003 , 486528 , 490088 
 Nederland , Binnenwater , Totaal binnenwater  , 355267 , 357440 , 359815 , 362628 , 363529 , 366121 , 367982 
 Groningen , Totale oppervlakte , Totale oppervlakte ,  296709 , 296790 , 296790 , 296003 , 296003 , 296005 , 295964 
 Groningen , Verkeersterrein , Totaal verkeersterrein  , 6347 , 6377 , 6456 , 6489 , 6414 , 6589 , 6485 
 Groningen , Bebouwd terrein , Totaal bebouwd terrein  , 13915 , 14552 , 15078 , 15505 , 15711 , 15782 , 16048 
 Groningen , Semi-bebouwd terrein , Totaal semi-bebouwd terrein  , 3087 , 3757 , 3262 , 3792 , 3935 , 4259 , 4195 
 Groningen , Recreatieterrein , Totaal recreatieterrein  , 3515 , 3627 , 3669 , 3739 , 3823 , 3763 , 3848 
 Groningen , Agrarisch terrein , Totaal agrarisch terrein  , 194706 , 192296 , 190443 , 188821 , 188340 , 187642 , 187482 
 Groningen , Bos en open natuurlijk terrein , Totaal  bos en open natuurlijk terrein  , 12151 , 12990 , 14488 , 14229 , 14316 , 14432 , 14455 
 Groningen , Binnenwater , Totaal binnenwater  , 6541 , 6694 , 6982 , 7756 , 7787 , 8071 , 8017 
 Friesland , Totale oppervlakte , Totale oppervlakte  , 574074 , 574087 , 574087 , 574874 , 574874 , 574875 , 574876 
 Friesland , Verkeersterrein , Totaal verkeersterrein  , 8622 , 8731 , 8736 , 8666 , 8618 , 8838 , 8436 
 Friesland , Bebouwd terrein , Totaal bebouwd terrein  , 14197 , 15309 , 15910 , 16671 , 16987 , 17282 , 17607 
 Friesland , Semi-bebouwd terrein , Totaal semi-bebouwd terrein  , 2047 , 2627 , 2734 , 2905 , 3093 , 3015 , 2989 
 Friesland , Recreatieterrein , Totaal recreatieterrein  , 4380 , 4607 , 4682 , 4864 , 4989 , 5003 , 5251 
 Friesland , Agrarisch terrein , Totaal agrarisch terrein  , 267794 , 264947 , 263577 , 262091 , 261199 , 260184 , 259759 
 Friesland , Bos en open natuurlijk terrein , Totaal  bos en open natuurlijk terrein  , 38324 , 38706 , 38463 , 38896 , 39110 , 38211 , 38322 
 Friesland , Binnenwater , Totaal binnenwater  , 64418 , 65054 , 65339 , 65621 , 65732 , 66240 , 66288 
 Drenthe , Totale oppervlakte , Totale oppervlakte  , 268049 , 268038 , 268037 , 268037 , 268037 , 268034 , 268043 
 Drenthe , Verkeersterrein , Totaal verkeersterrein  , 6713 , 6769 , 6861 , 6836 , 6883 , 7073 , 7058 
 Drenthe , Bebouwd terrein , Totaal bebouwd terrein  , 12515 , 13175 , 13653 , 14215 , 14597 , 14796 , 15191 
 Drenthe , Semi-bebouwd terrein , Totaal semi-bebouwd terrein  , 1748 , 2116 , 2542 , 2652 , 2492 , 2619 , 2217 
 Drenthe , Recreatieterrein , Totaal recreatieterrein  , 4332 , 4420 , 4768 , 4943 , 5082 , 5097 , 5355 
 Drenthe , Agrarisch terrein , Totaal agrarisch terrein  , 197166 , 194703 , 193157 , 191758 , 191328 , 189759 , 188710 
 Drenthe , Bos en open natuurlijk terrein , Totaal  bos en open natuurlijk terrein  , 42145 , 43017 , 43127 , 43493 , 43510 , 44254 , 44897 
 Drenthe , Binnenwater , Totaal binnenwater  , 3430 , 3838 , 3928 , 4140 , 4145 , 4435 , 4615 
 Overijssel , Totale oppervlakte , Totale oppervlakte  , 342004 , 342085 , 342086 , 342086 , 342086 , 342086 , 342074 
 Overijssel , Verkeersterrein , Totaal verkeersterrein  , 10120 , 10135 , 10259 , 10219 , 10354 , 10640 , 10589 
 Overijssel , Bebouwd terrein , Totaal bebouwd terrein  , 21606 , 22751 , 23493 , 24273 , 24886 , 25200 , 25642 
 Overijssel , Semi-bebouwd terrein , Totaal semi-bebouwd terrein  , 1899 , 2716 , 2927 , 3172 , 2951 , 3440 , 3710 
 Overijssel , Recreatieterrein , Totaal recreatieterrein  , 6126 , 6228 , 6641 , 6867 , 7002 , 6985 , 7102 
