Regio,Infrastructuur,Bebouwing,Semibebouwing,Recreatie,Agrarisch,Natuur,Binnenwater,Buitenwater
Groningen,6485,16048,4195,3848,187482,14455,8017,55436
Friesland,8436,17607,2989,5251,259759,38322,66288,176223
Drenthe,7058,15191,2217,5355,188710,44897,4615,0
Overijssel,10589,25642,3710,7102,239298,45892,9843,0
Flevoland,3351,8638,2608,4637,98852,23167,99977,0
Gelderland,16270,46480,5019,13601,300518,114830,16912,0
Utrecht,5879,22770,1986,5423,81186,20786,6884,0
Noord-Holland,11799,45161,5706,14740,158055,30768,74337,68627
Zuid-Holland,13239,56186,8280,16637,164482,22537,43018,17502
Zeeland,7193,11621,3433,4659,137318,14060,14522,100537
Noord-Brabant,17699,60862,7137,14089,306417,84626,17377,0
Limburg,8124,29781,3724,7220,130157,35751,6193,0
