Datum, Windsnelheid, Temperatuur, Bewolking
20160101,30,41,7
20160102,57,54,8
20160103,56,69,8
20160104,33,57,8
20160105,33,68,8
20160106,31,26,8
20160107,58,61,8
20160108,43,54,1
20160109,43,56,7
20160110,54,69,7
20160111,37,48,7
20160112,49,58,8
20160113,35,50,6
20160114,52,35,8
20160115,26,24,7
20160116,37,27,6
20160117,23,-10,1
20160118,21,-33,5
20160119,20,-25,6
20160120,15,12,7
20160121,24,-12,6
20160122,44,9,5
20160123,33,66,6
20160124,44,77,8
20160125,39,107,6
20160126,64,92,7
20160127,79,109,8
20160128,45,67,4
20160129,86,85,8
20160130,61,74,7
20160131,43,68,7
20160201,83,115,8
20160202,67,89,7
20160203,41,50,5
20160204,32,51,7
20160205,43,87,8
20160206,53,94,8
20160207,68,85,8
20160208,97,85,8
20160209,50,53,7
20160210,40,48,7
20160211,28,38,3
20160212,27,27,5
20160213,42,18,5
20160214,45,14,8
20160215,41,23,5
20160216,13,-3,1
20160217,23,-13,1
20160218,29,13,8
20160219,34,39,6
20160220,65,82,8
20160221,75,104,8
20160222,42,68,8
20160223,26,43,4
20160224,18,23,4
20160225,23,18,5
20160226,16,21,8
20160227,40,22,5
20160228,38,22,4
20160229,26,13,1
20160301,48,20,8
20160302,50,53,7
20160303,27,39,5
20160304,37,10,7
20160305,16,5,5
20160306,18,30,7
20160307,14,25,6
20160308,28,36,7
20160309,58,44,8
20160310,30,41,7
20160311,28,32,3
20160312,25,31,0
20160313,38,39,1
20160314,41,41,7
20160315,28,46,7
20160316,50,44,1
20160317,33,57,1
20160318,26,52,8
20160319,40,62,8
20160320,27,68,8
20160321,28,72,8
20160322,28,76,7
20160323,26,76,8
20160324,33,79,8
20160325,39,65,6
20160326,58,95,7
20160327,55,91,7
20160328,80,97,7
20160329,54,78,7
20160330,43,81,8
20160331,28,76,8
20160401,22,72,6
20160402,27,101,8
20160403,29,152,7
20160404,31,124,7
20160405,30,106,7
20160406,58,89,6
20160407,43,73,5
20160408,20,67,7
20160409,32,92,8
20160410,28,107,3
20160411,62,132,3
20160412,28,116,5
20160413,22,90,6
20160414,20,106,7
20160415,33,103,8
20160416,49,86,7
20160417,22,62,4
20160418,41,81,5
20160419,33,97,6
20160420,28,86,3
20160421,37,101,4
20160422,37,87,8
20160423,34,62,6
20160424,35,46,6
20160425,35,49,7
20160426,51,48,8
20160427,36,60,8
20160428,30,58,6
20160429,51,74,8
20160430,30,77,7
20160501,23,79,3
20160502,34,115,8
20160503,33,97,3
20160504,18,95,5
20160505,36,128,7
20160506,36,164,7
20160507,36,195,4
20160508,52,201,0
20160509,58,202,4
20160510,34,189,8
20160511,36,204,7
20160512,55,202,3
20160513,52,154,5
20160514,44,89,6
20160515,35,86,6
20160516,26,93,7
20160517,28,123,5
20160518,29,136,7
20160519,22,134,8
20160520,37,137,8
20160521,39,179,8
20160522,24,155,8
20160523,42,120,8
20160524,37,114,8
20160525,17,118,8
20160526,19,137,6
20160527,33,160,6
20160528,24,176,5
20160529,36,172,7
20160530,48,162,8
20160531,29,182,6
20160601,39,192,7
20160602,48,153,8
20160603,22,164,8
20160604,23,201,6
20160605,35,200,1
20160606,29,189,4
20160607,30,201,7
20160608,29,161,8
20160609,30,153,5
20160610,21,164,8
20160611,16,162,8
20160612,13,166,8
20160613,28,159,8
20160614,28,152,8
20160615,20,146,8
20160616,20,157,6
20160617,18,151,8
20160618,30,141,8
20160619,28,153,7
20160620,45,155,8
20160621,23,170,8
20160622,24,201,6
20160623,24,220,7
20160624,25,192,6
20160625,17,154,6
20160626,29,149,6
20160627,31,149,8
20160628,26,167,7
20160629,43,160,8
20160630,38,164,8
20160701,50,169,8
20160702,47,154,5
20160703,27,147,6
20160704,17,170,4
20160705,41,154,6
20160706,25,149,6
20160707,25,168,8
20160708,34,175,7
20160709,33,197,7
20160710,35,213,8
20160711,60,186,6
20160712,29,166,7
20160713,23,145,6
20160714,29,145,5
20160715,28,166,6
20160716,32,197,8
20160717,26,198,6
20160718,20,202,2
20160719,22,228,0
20160720,34,254,3
20160721,24,218,5
20160722,15,211,7
20160723,25,211,6
20160724,18,207,7
20160725,25,182,8
20160726,14,184,7
20160727,32,179,8
20160728,27,190,7
20160729,38,183,8
20160730,21,177,8
20160731,24,170,6
20160801,24,165,7
20160802,30,166,8
20160803,53,190,7
20160804,43,173,7
20160805,28,176,6
20160806,25,164,4
20160807,42,184,6
20160808,39,172,7
20160809,25,144,7
20160810,23,128,5
20160811,35,136,8
20160812,34,189,5
20160813,31,176,7
20160814,18,170,6
20160815,25,161,4
20160816,33,163,4
20160817,35,172,0
20160818,29,177,1
20160819,24,181,5
20160820,41,178,5
20160821,43,167,7
20160822,36,180,6
20160823,20,210,3
20160824,27,228,1
20160825,23,243,3
20160826,25,221,5
20160827,35,216,6
20160828,37,205,6
20160829,22,172,6
20160830,11,162,3
20160831,19,174,4
20160901,18,172,7
20160902,31,166,8
20160903,29,185,8
20160904,47,179,7
20160905,21,173,6
20160906,17,177,5
20160907,17,183,1
20160908,27,196,1
20160909,20,169,1
20160910,26,184,5
20160911,18,185,8
20160912,18,209,1
20160913,27,235,0
20160914,23,230,0
20160915,31,226,4
20160916,30,174,8
20160917,20,173,7
20160918,29,167,6
20160919,13,144,7
20160920,11,145,6
20160921,21,147,8
20160922,18,138,6
20160923,21,136,4
20160924,28,152,6
20160925,35,163,3
20160926,11,135,6
20160927,25,145,4
20160928,48,187,7
20160929,51,159,8
20160930,33,145,7
20161001,29,135,6
20161002,37,121,6
20161003,28,145,3
20161004,41,130,4
20161005,48,98,0
20161006,36,94,5
20161007,29,118,7
20161008,24,110,8
20161009,11,79,5
20161010,18,79,7
20161011,18,80,6
20161012,41,89,8
20161013,56,91,8
20161014,45,99,8
20161015,28,107,7
20161016,33,133,5
20161017,22,121,5
20161018,36,102,6
20161019,35,88,7
20161020,25,85,5
20161021,15,76,7
20161022,15,67,6
20161023,14,48,4
20161024,23,71,8
20161025,14,87,8
20161026,21,95,7
20161027,35,118,8
20161028,30,131,8
20161029,7,96,3
20161030,8,87,7
20161031,12,85,5
20161101,17,81,7
20161102,23,72,6
20161103,23,67,8
20161104,38,76,8
20161105,27,69,6
20161106,29,61,6
20161107,26,42,8
20161108,18,19,6
20161109,28,30,8
20161110,23,40,8
20161111,28,18,4
20161112,32,20,8
20161113,23,27,6
20161114,32,31,7
20161115,32,108,8
20161116,40,119,8
20161117,53,93,8
20161118,55,60,7
20161119,48,58,7
20161120,73,84,8
20161121,45,120,8
20161122,45,110,8
20161123,27,79,8
20161124,58,66,8
20161125,40,33,6
20161126,10,-1,7
20161127,20,56,6
20161128,28,-3,0
20161129,11,-31,0
20161130,25,20,8
20161201,31,79,8
20161202,20,52,5
20161203,8,-1,4
20161204,24,-14,0
