# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# FG       = Etmaalgemiddelde windsnelheid (in 0.1 m/s); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# NG       = Etmaalgemiddelde bewolking (bedekkingsgraad van de bovenlucht in achtsten, 9=bovenlucht onzichtbaar); 
# 
# STN,YYYYMMDD,   FG,   TG,   NG
# 
  260,20150101,   54,   30,    4
  260,20150102,   61,   73,    5
  260,20150103,   33,   38,    7
  260,20150104,   24,   39,    2
  260,20150105,   30,   24,    7
  260,20150106,   32,   28,    8
  260,20150107,   42,   45,    5
  260,20150108,   53,   65,    6
  260,20150109,   81,   99,    8
  260,20150110,   84,   95,    7
  260,20150111,   64,   64,    7
  260,20150112,   81,   84,    8
  260,20150113,   64,   86,    7
  260,20150114,   58,   44,    7
  260,20150115,   79,   79,    8
  260,20150116,   46,   55,    4
  260,20150117,   38,   30,    3
  260,20150118,   29,   22,    8
  260,20150119,   12,   10,    8
  260,20150120,   18,    8,    6
  260,20150121,   30,   -5,    7
  260,20150122,   33,  -12,    6
  260,20150123,   24,  -28,    7
  260,20150124,   33,   22,    5
  260,20150125,   26,   37,    7
  260,20150126,   35,   59,    7
  260,20150127,   28,   51,    5
  260,20150128,   62,   53,    8
  260,20150129,   45,   24,    7
  260,20150130,   30,   17,    6
  260,20150131,   23,   10,    4
  260,20150201,   24,   26,    7
  260,20150202,   27,   20,    5
  260,20150203,   20,   17,    5
  260,20150204,   21,    2,    3
  260,20150205,   31,   -7,    5
  260,20150206,   49,   -2,    1
  260,20150207,   24,   15,    5
  260,20150208,   45,   50,    6
  260,20150209,   30,   57,    8
  260,20150210,   23,   57,    8
  260,20150211,   25,   42,    8
  260,20150212,   19,   26,    7
  260,20150213,   43,   46,    4
  260,20150214,   42,   66,    6
  260,20150215,   29,   26,    1
  260,20150216,   20,    9,    1
  260,20150217,   22,   33,    5
  260,20150218,   32,   18,    4
  260,20150219,   52,   35,    6
  260,20150220,   50,   53,    8
  260,20150221,   25,   32,    6
  260,20150222,   48,   32,    4
  260,20150223,   65,   59,    6
  260,20150224,   54,   54,    6
  260,20150225,   32,   48,    5
  260,20150226,   45,   63,    8
  260,20150227,   32,   49,    4
  260,20150228,   54,   51,    5
  260,20150301,   67,   83,    6
  260,20150302,   57,   53,    4
  260,20150303,   49,   44,    4
  260,20150304,   44,   51,    4
  260,20150305,   28,   57,    5
  260,20150306,   32,   66,    6
  260,20150307,   46,   84,    3
  260,20150308,   34,   93,    2
  260,20150309,   28,   88,    7
  260,20150310,   26,   76,    3
  260,20150311,   18,   27,    4
  260,20150312,   31,   54,    0
